case_id,offender_id,crime_type,ipc_bns_section,victim_type,district,area_locality,time_pattern,method_used,mo_summary,date_reported,match_status,offender_age_band,offender_gender,offender_prior_case_count,offender_repeat_status,offender_recurrence_pattern
CASE-01688,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Chikkamagaluru,IG Road area,Weekend nights,Late-night forced entry,Late-night forced entry; target: Small retail shop; weekend nights,2024-08-17,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00656,OFF-00208,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Vijayapura,Jubilee Circle area,Weekday mornings,Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; weekday mornings,2023-09-22,Linked to known offender record,18-25,F,3,Repeat,Consistent MO across all recorded cases
CASE-01675,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Belagavi,Camp Area,Late night (11 PM-2 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Elderly pedestrian; late night (11 pm-2 am),2024-12-13,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01667,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Mandya,Vidyanagar,Early morning (4-7 AM),Crowd distraction lift,Crowd distraction lift; target: Bus/rail commuter; early morning (4-7 am),2023-08-25,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01165,OFF-00352,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Kalaburagi,Station Road area,Weekend nights,"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; weekend nights",2024-10-17,Linked to known offender record,46-55,M,6,Repeat,Consistent MO across all recorded cases
CASE-01880,UNASSIGNED,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bagalkot,Old Bagalkot,Early morning (4-7 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; early morning (4-7 am)",2025-06-22,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01346,OFF-00408,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Bengaluru Rural,Devanahalli town,Evening rush (6-8 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; evening rush (6-8 pm),2023-06-22,Linked to known offender record,36-45,F,3,Repeat,Alternates between two known methods
CASE-00099,OFF-00029,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Bengaluru Rural,Nelamangala town,Weekday mornings,"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Ground-floor apartment; weekday mornings",2023-11-21,Linked to known offender record,46-55,F,4,Repeat,Escalating frequency over last 6 months
CASE-01359,OFF-00414,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bengaluru Urban,Whitefield,Midday (12-3 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; midday (12-3 pm)",2025-12-17,Linked to known offender record,46-55,M,3,Repeat,Alternates between two known methods
CASE-00829,OFF-00259,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Bengaluru Urban,Koramangala,Weekend nights,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekend nights,2023-05-29,Linked to known offender record,56+,M,4,Repeat,Consistent MO across all recorded cases
CASE-01453,OFF-00443,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Haveri,Bypass Road area,Weekday mornings,"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Ground-floor apartment; weekday mornings",2023-11-27,Linked to known offender record,56+,F,6,Repeat,Alternates between two known methods
CASE-01588,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Kolar,Old Bus Stand area,Late night (11 PM-2 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; late night (11 pm-2 am),2024-11-30,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00698,OFF-00220,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Bengaluru Rural,Devanahalli town,Weekday mornings,Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; weekday mornings,2024-09-13,Linked to known offender record,56+,M,4,Repeat,Escalating frequency over last 6 months
CASE-01158,OFF-00351,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Tumakuru,Ashoknagar,Evening rush (6-8 PM),Impersonation as utility worker,Impersonation as utility worker; target: Ground-floor apartment; evening rush (6-8 pm),2024-02-07,Linked to known offender record,18-25,F,5,Repeat,Escalating frequency over last 6 months
CASE-01662,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Hassan,Race Course Road area,Late night (11 PM-2 AM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; late night (11 pm-2 am),2024-11-13,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00919,OFF-00289,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Mangaluru (Dakshina Kannada),Bejai,Midday (12-3 PM),Window grille cutting,Window grille cutting; target: Ground-floor apartment; midday (12-3 pm),2023-08-06,Linked to known offender record,26-35,M,6,Repeat,Alternates between two known methods
CASE-00750,OFF-00235,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Ballari,Gandhinagar,Evening rush (6-8 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; evening rush (6-8 pm)",2025-06-28,Linked to known offender record,56+,F,3,Repeat,Consistent MO across all recorded cases
CASE-00232,OFF-00068,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Mangaluru (Dakshina Kannada),Kadri,Midday (12-3 PM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; midday (12-3 pm),2024-01-19,Linked to known offender record,36-45,M,1,First recorded instance,Escalating frequency over last 6 months
CASE-01828,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Kodagu,Virajpet town,Evening rush (6-8 PM),Crowd distraction lift,Crowd distraction lift; target: Bus/rail commuter; evening rush (6-8 pm),2024-04-12,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01846,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Ramanagara,Bengaluru-Mysuru Highway area,Weekend nights,Cash-for-goods swap,Cash-for-goods swap; target: Small retail shop; weekend nights,2024-04-21,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00502,OFF-00159,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Chitradurga,Basaveshwara Nagar,Midday (12-3 PM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; midday (12-3 pm),2025-06-01,Linked to known offender record,46-55,M,2,Repeat,Escalating frequency over last 6 months
CASE-01939,UNASSIGNED,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Ramanagara,Bengaluru-Mysuru Highway area,Early morning (4-7 AM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; early morning (4-7 am),2023-05-27,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01407,OFF-00430,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Vijayapura,Athani Road area,Midday (12-3 PM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; midday (12-3 pm),2025-08-03,Linked to known offender record,46-55,M,3,Repeat,Long gap then resurgence with same MO
CASE-01040,OFF-00320,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Gadag,Betageri,Midday (12-3 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; midday (12-3 pm),2024-10-17,Linked to known offender record,26-35,M,5,Repeat,Alternates between two known methods
CASE-00162,OFF-00047,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Chikkamagaluru,Kalasapura,Weekday mornings,Window grille cutting,Window grille cutting; target: Vacant residence; weekday mornings,2025-04-19,Linked to known offender record,18-25,F,6,Repeat,Escalating frequency over last 6 months
CASE-00324,OFF-00102,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Uttara Kannada,Kumta town,Late night (11 PM-2 AM),Relay key attack,Relay key attack; target: Parked vehicle - street; late night (11 pm-2 am),2023-12-06,Linked to known offender record,56+,M,6,Repeat,Single recorded case - insufficient pattern history
CASE-01952,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Mangaluru (Dakshina Kannada),Bejai,Weekend nights,Window grille cutting,Window grille cutting; target: Ground-floor apartment; weekend nights,2024-02-17,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01638,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Kalaburagi,Sedam Road area,Late night (11 PM-2 AM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; late night (11 pm-2 am),2024-11-16,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00422,OFF-00136,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Vijayapura,Jubilee Circle area,Midday (12-3 PM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; midday (12-3 pm),2024-05-17,Linked to known offender record,56+,M,2,Repeat,Escalating frequency over last 6 months
CASE-01889,UNASSIGNED,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Mysuru,Saraswathipuram,Weekday mornings,Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; weekday mornings,2025-11-13,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00982,OFF-00304,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Tumakuru,Ashoknagar,Midday (12-3 PM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; midday (12-3 pm),2025-03-28,Linked to known offender record,46-55,F,5,Repeat,Escalating frequency over last 6 months
CASE-00123,OFF-00035,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Mysuru,Vijayanagar,Evening rush (6-8 PM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; evening rush (6-8 pm),2023-11-16,Linked to known offender record,46-55,F,4,Repeat,Escalating frequency over last 6 months
CASE-00347,OFF-00111,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Mandya,Ashok Nagar,Weekend nights,Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; weekend nights,2023-04-27,Linked to known offender record,26-35,M,5,Repeat,Consistent MO across all recorded cases
CASE-00800,OFF-00249,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Tumakuru,Kunigal Road area,Evening rush (6-8 PM),SMS phishing link,SMS phishing link; target: First-time UPI user; evening rush (6-8 pm),2024-06-03,Linked to known offender record,26-35,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-01072,OFF-00327,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Ballari,Gandhinagar,Late night (11 PM-2 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; late night (11 pm-2 am),2025-03-15,Linked to known offender record,26-35,F,6,Repeat,Single recorded case - insufficient pattern history
CASE-01369,OFF-00417,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Chikkamagaluru,MG Road area,Early morning (4-7 AM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; early morning (4-7 am)",2023-05-27,Linked to known offender record,56+,F,1,First recorded instance,Consistent MO across all recorded cases
CASE-00738,OFF-00232,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Bidar,Chidri,Weekend nights,Tow-away theft,Tow-away theft; target: Parked vehicle - street; weekend nights,2023-09-03,Linked to known offender record,36-45,F,6,Repeat,Long gap then resurgence with same MO
CASE-00149,OFF-00042,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Koppal,Gangavathi Road area,Early morning (4-7 AM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; early morning (4-7 am),2023-03-30,Linked to known offender record,46-55,F,2,Repeat,Consistent MO across all recorded cases
CASE-01241,OFF-00376,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Shivamogga,Gopala Extension,Early morning (4-7 AM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; early morning (4-7 am),2025-05-25,Linked to known offender record,46-55,M,5,Repeat,Consistent MO across all recorded cases
CASE-00673,OFF-00213,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Bengaluru Urban,Banashankari,Midday (12-3 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; midday (12-3 pm),2025-10-14,Linked to known offender record,18-25,M,6,Repeat,Long gap then resurgence with same MO
CASE-01188,OFF-00360,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Ballari,Bruce Pet,Weekend nights,Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; weekend nights,2024-03-05,Linked to known offender record,46-55,M,5,Repeat,Consistent MO across all recorded cases
CASE-00272,OFF-00081,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Kolar,Old Bus Stand area,Early morning (4-7 AM),Crowd distraction lift,Crowd distraction lift; target: Market crowd; early morning (4-7 am),2024-05-30,Linked to known offender record,46-55,F,3,Repeat,Escalating frequency over last 6 months
CASE-00905,OFF-00285,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Hassan,Race Course Road area,Evening rush (6-8 PM),SMS phishing link,SMS phishing link; target: First-time UPI user; evening rush (6-8 pm),2025-09-19,Linked to known offender record,26-35,F,5,Repeat,Escalating frequency over last 6 months
CASE-00216,OFF-00063,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Yadgir,Station Road area,Early morning (4-7 AM),Late-night forced entry,Late-night forced entry; target: Small retail shop; early morning (4-7 am),2024-05-18,Linked to known offender record,56+,M,4,Repeat,Long gap then resurgence with same MO
CASE-01872,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Bidar,Chidri,Weekday mornings,Late-night forced entry,Late-night forced entry; target: Small retail shop; weekday mornings,2023-01-11,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01086,OFF-00330,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Kodagu,Madikeri town,Late night (11 PM-2 AM),Window grille cutting,Window grille cutting; target: Ground-floor apartment; late night (11 pm-2 am),2024-02-09,Linked to known offender record,26-35,F,6,Repeat,Consistent MO across all recorded cases
CASE-01922,UNASSIGNED,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Mysuru,Saraswathipuram,Weekend nights,Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; weekend nights,2023-07-08,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01690,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Koppal,Old Town,Weekend nights,Impersonation as utility worker,Impersonation as utility worker; target: Ground-floor apartment; weekend nights,2025-07-18,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
